timestamp,price,amount,side
1780949075.874,0.02661,0.016,buy
1780949075.881,0.02661,0.1415,buy
1780949075.888,0.02661,0.1739,buy
1780949075.895,0.02661,0.3175,buy
1780949075.903,0.02661,0.0086,buy
1780949075.906,0.02661,0.0073,buy
1780949075.906,0.02661,0.0073,buy
1780949075.906,0.02661,0.0073,buy
1780949075.911,0.02661,0.1072,buy
1780949075.918,0.02661,0.2356,buy
1780949075.924,0.02661,0.009,buy
1780949075.931,0.02661,0.6523,buy
1780949075.939,0.02661,0.009,buy
1780949075.947,0.02661,0.0088,buy
1780949076.063,0.02661,0.0158,buy
1780949077.128,0.02661,0.0169,buy
1780949077.129,0.02661,0.011,buy
1780949077.129,0.02661,0.0134,buy
1780949079.174,0.02661,0.0214,buy
1780949079.178,0.02661,0.0214,buy
1780949079.185,0.02661,0.2099,buy
1780949079.483,0.02661,0.016,buy
1780949080.054,0.02661,0.016,buy
1780949083.093,0.02661,0.0088,buy
1780949083.1,0.02661,0.0247,buy
1780949083.107,0.02661,0.4548,buy
1780949083.114,0.02661,0.0088,buy
1780949083.121,0.02661,0.0152,buy
1780949083.128,0.02661,0.4115,buy
1780949083.135,0.02661,0.0088,buy
1780949083.142,0.02661,0.0088,buy
1780949083.149,0.02661,0.0088,buy
1780949083.156,0.02661,0.0088,buy
1780949083.163,0.02661,0.0088,buy
1780949083.17,0.02661,0.016,buy
1780949083.176,0.02661,0.0088,buy
1780949083.183,0.02661,0.0088,buy
1780949083.19,0.02661,0.0088,buy
1780949083.197,0.02661,0.0088,buy
1780949083.205,0.02661,0.0088,buy
1780949083.212,0.02661,0.0088,buy
1780949083.219,0.02661,0.0088,buy
1780949083.226,0.02661,0.0088,buy
1780949083.232,0.02661,0.0088,buy
1780949083.239,0.02661,0.0088,buy
1780949083.246,0.02661,0.0088,buy
1780949083.253,0.02661,0.0088,buy
1780949083.26,0.02661,0.0088,buy
1780949083.267,0.02661,0.0088,buy
1780949083.273,0.02661,0.0088,buy
1780949083.28,0.02661,0.0088,buy
1780949083.288,0.02661,0.0088,buy
1780949083.296,0.02661,0.0088,buy
1780949083.303,0.02661,0.0088,buy
1780949083.31,0.02661,0.0088,buy
1780949083.317,0.02661,0.0088,buy
1780949083.328,0.02661,0.0088,buy
